date,power,name
2023-10-03,35430.083333333336,IT
2023-10-04,35341.833333333336,IT
2023-10-05,35053.333333333336,IT
2023-10-06,29129.333333333332,IT
2023-10-07,25857.375,IT
2023-10-08,34289.041666666664,IT
2023-10-09,35839.0,IT
2023-10-10,35862.625,IT
2023-10-11,35873.958333333336,IT
2023-10-12,35148.791666666664,IT
2023-10-13,29019.666666666668,IT
2023-10-14,25425.375,IT
2023-10-15,34365.083333333336,IT
2023-10-16,36099.541666666664,IT
2023-10-17,36149.958333333336,IT
2023-10-18,35784.083333333336,IT
2023-10-19,35618.458333333336,IT
2023-10-20,29062.291666666668,IT
2023-10-21,25526.958333333332,IT
2023-10-22,33797.583333333336,IT
2023-10-23,35452.833333333336,IT
2023-10-24,35372.166666666664,IT
2023-10-25,35514.375,IT
2023-10-26,35376.875,IT
2023-10-27,29675.833333333332,IT
2023-10-28,26605.833333333332,IT
2023-10-29,34465.25,IT
2023-10-30,34822.916666666664,IT
2023-10-31,34684.708333333336,IT
2023-11-01,26590.458333333332,IT
2023-11-02,30053.166666666668,IT
2023-11-03,27679.666666666668,IT
2023-11-04,25666.458333333332,IT
2023-11-05,34192.0,IT
2023-11-06,35930.125,IT
2023-11-07,36178.083333333336,IT
2023-11-08,36018.291666666664,IT
2023-11-09,35587.75,IT
2023-11-10,29843.583333333332,IT
2023-11-11,26175.833333333332,IT
2023-11-12,34285.791666666664,IT
2023-11-13,36080.75,IT
2023-11-14,36157.875,IT
2023-11-15,36355.916666666664,IT
2023-11-16,36400.0,IT
2023-11-17,30693.75,IT
2023-11-18,27334.833333333332,IT
2023-11-19,36621.75,IT
2023-11-20,38190.791666666664,IT
2023-11-21,37857.25,IT
2023-11-22,37644.458333333336,IT
2023-11-23,37190.041666666664,IT
2023-11-24,30735.666666666668,IT
2023-11-25,27133.375,IT
2023-11-26,35772.5,IT
2023-11-27,37685.25,IT
2023-11-28,37944.708333333336,IT
2023-11-29,37570.666666666664,IT
2023-11-30,38419.708333333336,IT
2023-12-01,32086.583333333332,IT
2023-12-02,28599.875,IT
2023-12-03,37189.416666666664,IT
2023-12-04,38619.583333333336,IT
2023-12-05,38558.458333333336,IT
2023-12-06,38079.0,IT
2023-12-07,37706.958333333336,IT
2023-12-08,29224.583333333332,IT
2023-12-09,27986.0,IT
2023-12-10,37228.875,IT
2023-12-11,39241.041666666664,IT
2023-12-12,39152.708333333336,IT
2023-12-13,39866.625,IT
2023-12-14,39429.041666666664,IT
2023-12-15,33729.666666666664,IT
2023-12-16,29892.541666666668,IT
2023-12-17,38633.416666666664,IT
2023-12-18,40052.416666666664,IT
2023-12-19,39730.875,IT
2023-12-20,38511.041666666664,IT
2023-12-21,35954.5,IT
2023-12-22,29730.541666666668,IT
2023-12-23,27041.458333333332,IT
2023-12-24,26876.791666666668,IT
2023-12-25,23521.0,IT
2023-12-26,24534.625,IT
2023-12-27,29872.666666666668,IT
2023-12-28,30097.625,IT
2023-12-29,27507.916666666668,IT
2023-12-30,25536.958333333332,IT
2023-12-31,27507.708333333332,IT
2023-01-01,11692.291666666666,NL
2023-01-02,14106.364583333334,NL
2023-01-03,14755.03125,NL
2023-01-04,14686.333333333334,NL
